センター, center
手袋, _手套
イヤリング, 耳饰
照れ, _脸红
髪, _头发
ストール, _肩饰
イヤリング, _耳环
イヤリング, _耳坠
表情, _表情
衣服2, _衣服x2
マフラー, _绒毛
眼帯, _眼罩
衣服, _衣服
靴下, _袜子
首, _脖子
ネクタイ, _领带
上着, _外套
飾り, _饰品
体, _丝袜
下半身, _裤子
顔, _顏
顔2, _顏2
スカート, _下襬
スカーフ, _领
マント内側, _披风内侧
顔1, _面1
顔2, _面2
髪, _发
髪sph, _发_sph+
素材3, _材质3
素材4, _材质4
リストバンド, _手环
上着, _外衣
ハイライト, _髮辮+
服_alpha, _服_alpha
絆創膏, _创可贴
保護眼鏡, _护目镜
保護眼鏡レンズ, _护目镜片
バッグ, _包
ブーツ, _鞋
顔１, _面１
顔２, _面２
靴, _鞋子
手套, _手套
スカート, _裙子
ブーツ, _鞋子
肩甲, _肩甲
ドレス, _裙饰
ドレス2, _裙饰2
装飾, _饰
装飾2, _饰2
ブラウス, _裤
手爪, _指甲
リボン, _飘带
内布, _裙内
後髪, _后发
天使輪, _发sph+
魔法書, _魔法书
髪+, _发+
髪飾_金属, _头饰_金属
髪飾り, _头花
前髪, _前发
前髪2, _头饰2
髪飾1, _髪饰1
髪飾2, _髪饰2
装飾品x2x2, _挂饰品x2x2
下半身2, _MI_Down.002
下半身1, _MI_Down.001
下半身, _MI_Down
上半身, _MI_Up.001
腰紐, _ce jie
前掛け, _qian
後掛け, _hou
体, _body
体2, _body 2
胸飾, _手饰
瞳, _MI_Eye
瞳, _MI_Eye.001
瞳, _MI_Eyes
瞳+, _MI_Eyes+
ハイライト, _hi
眼白, _白
歯2, _kou2
舌, _she
舌1, _she_001
舌2, _she_002
口中, _kou
鼻エッジ, _nose
眉, _mei
目輪郭, _jie
耳, _hou2
顔, _face
目枠, _bai2
上半身服, _MI_Up.002
左タイ, _left qian shenzi
右タイ, _right qian shenzi
髪飾り, _toushi
リボン, _hudiejie
イヤリング, _earing
後髪, _后发
